#,,base:cevent_training_words_expanded,,,,,cevent_training_eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,individual_prop,,,,,,,,,,,,,,,,,,individual_mean_dur,,,,,,,,,,,,,,,,,,individual_freq,,,,,,,,,,,,,,,,,
#,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
#subID,expID,onset,offset,category,trialsID,instanceID,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all
18811,188,2.25,4.5,10,1,1,0,0.060889,0,0,0.296,0,0,0,0,0.59822,0,0,0,0,0,0,0,0,0,0.137,0,0,0.333,0,0,0,0,0.673,0,0,0,0,0,0,0,0,0,26.667,0,0,53.333,0,0,0,0,53.333,0,0,0,0,0,0,0,0
18811,188,4.5,6.75,5,1,2,0,0,0,0,0.72844,0,0,0,0,0.13689,0,0,0,0,0,0,0,0,0,0,0,0,0.8195,0,0,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0,0,53.333,0,0,0,0,26.667,0,0,0,0,0,0,0,0
18811,188,6.75,9,7,1,3,0,0.13778,0,0,0.19822,0,0.65644,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0.446,0,1.477,0,0,0,0,0,0,0,0,0,0,0,0,26.667,0,0,26.667,0,26.667,0,0,0,0,0,0,0,0,0,0,0
18811,188,9,11.25,2,1,4,0,0.68,0,0,0,0,0,0,0,0.17733,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0.399,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0,0,0
18811,188,13.7,15.95,14,1,5,0,0,0.20444,0.25511,0,0,0,0,0,0,0,0,0,0.46889,0,0,0,0,0,0,0.46,0.574,0,0,0,0,0,0,0,0,0,1.055,0,0,0,0,0,0,26.667,26.667,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0
18811,188,15.95,18.2,6,1,6,0,0,0.062222,0.51067,0,0.28711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.383,0,0.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.667,80,0,53.333,0,0,0,0,0,0,0,0,0,0,0,0
18811,188,18.2,20.45,3,1,7,0,0,0.34711,0,0,0.14089,0,0,0,0,0,0,0,0.50311,0,0,0,0,0,0,0.781,0,0,0.317,0,0,0,0,0,0,0,1.132,0,0,0,0,0,0,26.667,0,0,26.667,0,0,0,0,0,0,0,26.667,0,0,0,0
18811,188,20.45,22.7,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0
18811,188,25.15,27.4,12,1,9,0,0,0,0,0,0.19956,0,0,0,0,0,0.56622,0,0,0,0,0,0.20756,0,0,0,0,0,0.2245,0,0,0,0,0,0.637,0,0,0,0,0,0.467,0,0,0,0,0,53.333,0,0,0,0,0,53.333,0,0,0,0,0,26.667
18811,188,27.4,29.65,6,1,10,0,0,0,0,0,0.45956,0,0,0,0,0,0,0.53156,0,0,0,0,0,0,0,0,0,0,0.517,0,0,0,0,0,0,0.598,0,0,0,0,0,0,0,0,0,0,53.333,0,0,0,0,0,0,53.333,0,0,0,0,0
