#,,base:cevent_training_trial_type,,,,,cevent_training_eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,individual_prop,,,,,,,,,,,,,,,,,,individual_mean_dur,,,,,,,,,,,,,,,,,,individual_freq,,,,,,,,,,,,,,,,,
#,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
#subID,expID,onset,offset,category,trialsID,instanceID,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all
18811,188,0,2.25,3,1,1,0,0.27422,0,0,0.18044,0,0,0,0,0.24756,0,0,0,0,0,0,0,0,0,0.617,0,0,0.406,0,0,0,0,0.2785,0,0,0,0,0,0,0,0,0,26.667,0,0,26.667,0,0,0,0,53.333,0,0,0,0,0,0,0,0
18811,188,11.45,13.7,3,1,2,0,0,0.049778,0.097333,0,0.080444,0,0,0,0,0,0,0,0.60267,0,0,0,0,0,0,0.112,0.219,0,0.181,0,0,0,0,0,0,0,1.356,0,0,0,0,0,0,26.667,26.667,0,26.667,0,0,0,0,0,0,0,26.667,0,0,0,0
18811,188,22.9,25.15,4,1,3,0,0,0,0,0,0.089333,0,0,0,0,0,0.78133,0,0,0,0,0,0.021778,0,0,0,0,0,0.201,0,0,0,0,0,0.879,0,0,0,0,0,0.049,0,0,0,0,0,26.667,0,0,0,0,0,53.333,0,0,0,0,0,26.667
18811,188,34.35,36.6,2,1,4,0,0,0,0,0,0,0,0,0.35778,0,0,0,0,0,0,0.28533,0.10044,0,0,0,0,0,0,0,0,0,0.20125,0,0,0,0,0,0,0.642,0.113,0,0,0,0,0,0,0,0,0,106.67,0,0,0,0,0,0,26.667,53.333,0
18811,188,45.8,48.05,3,1,5,0,0,0,0,0,0.055556,0,0,0,0.063556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,26.667,0,0,0,26.667,0,0,0,0,0,0,0,0
18811,188,57.25,59.5,3,1,6,0.17733,0,0.17956,0,0,0,0,0,0,0,0,0.13289,0.31511,0,0,0,0,0,0.399,0,0.404,0,0,0,0,0,0,0,0,0.299,0.3545,0,0,0,0,0,26.667,0,26.667,0,0,0,0,0,0,0,0,26.667,53.333,0,0,0,0,0
18811,188,68.7,70.95,3,1,7,0,0,0,0,0,0,0,0,0.26578,0.15911,0,0,0,0,0,0,0.23867,0.15911,0,0,0,0,0,0,0,0,0.598,0.358,0,0,0,0,0,0,0.2685,0.358,0,0,0,0,0,0,0,0,26.667,26.667,0,0,0,0,0,0,53.333,26.667
18811,188,80.15,82.4,3,1,8,0,0.60311,0,0,0,0,0,0.099556,0,0,0,0,0,0,0,0.14089,0,0,0,1.357,0,0,0,0,0,0.224,0,0,0,0,0,0,0,0.317,0,0,0,26.667,0,0,0,0,0,26.667,0,0,0,0,0,0,0,26.667,0,0
18811,188,91.6,93.85,2,1,9,0,0,0,0.29156,0.13289,0,0.232,0,0,0,0,0,0,0,0,0,0.18578,0,0,0,0,0.328,0.299,0,0.522,0,0,0,0,0,0,0,0,0,0.418,0,0,0,0,53.333,26.667,0,26.667,0,0,0,0,0,0,0,0,0,26.667,0
18811,188,103.05,105.3,4,1,10,0,0,0.81556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18811,188,114.5,116.75,3,1,11,0,0,0,0,0,0,0,0.15956,0,0,0,0,0,0,0.216,0.19467,0,0.26533,0,0,0,0,0,0,0,0.359,0,0,0,0,0,0,0.486,0.438,0,0.597,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0,26.667,26.667,0,26.667
18811,188,125.95,128.2,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17822,0,0,0,0.70044,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401,0,0,0,1.576,0,0,0,0,0,0,0,0,0,0,0,0,0,26.667,0,0,0,26.667
18811,188,137.4,139.65,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0.86844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0
18811,188,148.85,151.1,4,1,14,0,0,0.23111,0,0,0,0,0,0,0,0,0,0,0,0,0.54711,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0.6155,0,0,0,0,26.667,0,0,0,0,0,0,0,0,0,0,0,0,53.333,0,0
18811,188,160.3,162.55,3,1,15,0,0,0,0,0.49556,0,0,0,0,0.18756,0.13289,0,0,0,0.15422,0,0,0,0,0,0,0,1.115,0,0,0,0,0.422,0.299,0,0,0,0.347,0,0,0,0,0,0,0,26.667,0,0,0,0,26.667,26.667,0,0,0,26.667,0,0,0
18811,188,171.75,174,4,1,16,0,0,0,0,0,0,0,0,0.90622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0,0,0,0
18811,188,183.2,185.45,2,1,17,0.23911,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.16889,0,0,0,0.538,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,26.667,0,0,53.333,0,0,0,0,0,0,0,0,0,0,26.667,0,0,0
18811,188,194.65,196.9,3,1,18,0,0.18356,0,0,0,0,0,0,0.21378,0,0,0,0,0.344,0,0,0.095111,0,0,0.413,0,0,0,0,0,0,0.481,0,0,0,0,0.387,0,0,0.214,0,0,26.667,0,0,0,0,0,0,26.667,0,0,0,0,53.333,0,0,26.667,0
18811,188,206.1,208.35,4,1,19,0,0.30667,0,0,0.068444,0,0,0,0,0,0.27289,0,0.11644,0,0,0,0,0,0,0.345,0,0,0.154,0,0,0,0,0,0.614,0,0.262,0,0,0,0,0,0,53.333,0,0,26.667,0,0,0,0,0,26.667,0,26.667,0,0,0,0,0
18811,188,217.55,219.8,4,1,20,0,0,0,0,0,0,0,0,0,0,0.10667,0,0,0,0,0,0,0.50533,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0.379,0,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0,80
18811,188,229,231.25,2,1,21,0,0,0.144,0,0.39911,0,0,0,0,0,0,0.22978,0,0,0,0,0,0,0,0,0.324,0,0.898,0,0,0,0,0,0,0.517,0,0,0,0,0,0,0,0,26.667,0,26.667,0,0,0,0,0,0,26.667,0,0,0,0,0,0
18811,188,240.45,242.7,3,1,22,0.58533,0,0,0,0,0,0.20444,0,0,0,0,0,0,0,0,0,0,0,0.6585,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,53.333,0,0,0,0,0,26.667,0,0,0,0,0,0,0,0,0,0,0
18811,188,251.9,254.15,3,1,23,0,0,0,0.38978,0,0,0,0,0,0,0.043556,0,0,0.43422,0,0,0,0,0,0,0,0.4385,0,0,0,0,0,0,0.098,0,0,0.4885,0,0,0,0,0,0,0,53.333,0,0,0,0,0,0,26.667,0,0,53.333,0,0,0,0
18811,188,263.35,265.6,2,1,24,0,0,0,0,0,0.49556,0,0,0,0.22978,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5575,0,0,0,0.2585,0,0,0,0,0,0,0,0,0,0,0,0,0,53.333,0,0,0,53.333,0,0,0,0,0,0,0,0
18811,188,274.8,277.05,3,1,25,0,0.11956,0,0.39422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269,0,0.29567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.667,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18811,188,286.25,288.5,4,1,26,0,0,0,0,0,0,0,0,0,0.51378,0,0,0,0,0,0,0,0.19511,0,0,0,0,0,0,0,0,0,0.578,0,0,0,0,0,0,0,0.439,0,0,0,0,0,0,0,0,0,53.333,0,0,0,0,0,0,0,26.667
18811,188,297.7,299.95,3,1,27,0,0,0,0,0,0,0,0.079111,0,0,0,0,0,0,0,0,0.79022,0,0,0,0,0,0,0,0,0.178,0,0,0,0,0,0,0,0,0.889,0,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0,0,0,53.333,0
18812,188,0,2.25,3,1,1,0,0.19467,0,0,0,0,0.31644,0,0,0.24711,0,0,0,0,0,0,0,0,0,0.438,0,0,0,0,0.356,0,0,0.556,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0,53.333,0,0,26.667,0,0,0,0,0,0,0,0
18812,188,11.45,13.7,3,1,2,0,0,0.063556,0.53289,0,0,0,0,0,0,0,0,0,0.19511,0,0,0,0,0,0,0.0715,1.199,0,0,0,0,0,0,0,0,0,0.439,0,0,0,0,0,0,53.333,26.667,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0
18812,188,22.9,25.15,4,1,3,0,0,0,0,0,0.095111,0,0,0,0,0,0.17689,0.21244,0,0,0,0,0.36222,0,0,0,0,0,0.214,0,0,0,0,0,0.398,0.478,0,0,0,0,0.4075,0,0,0,0,0,26.667,0,0,0,0,0,26.667,26.667,0,0,0,0,53.333
18812,188,34.35,36.6,2,1,4,0.11733,0,0,0,0,0,0,0,0.532,0,0,0,0,0,0,0,0.28222,0,0.264,0,0,0,0,0,0,0,1.197,0,0,0,0,0,0,0,0.635,0,26.667,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0,0,26.667,0
18812,188,45.8,48.05,3,1,5,0,0.17733,0,0.25378,0,0.15289,0,0,0,0.21289,0,0,0,0,0,0,0,0,0,0.399,0,0.2855,0,0.344,0,0,0,0.479,0,0,0,0,0,0,0,0,0,26.667,0,53.333,0,26.667,0,0,0,26.667,0,0,0,0,0,0,0,0
18812,188,57.25,59.5,3,1,6,0.16933,0,0,0,0,0,0,0,0,0,0,0.61956,0,0,0,0,0,0,0.381,0,0,0,0,0,0,0,0,0,0,0.697,0,0,0,0,0,0,26.667,0,0,0,0,0,0,0,0,0,0,53.333,0,0,0,0,0,0
18812,188,68.7,70.95,3,1,7,0,0,0,0,0,0,0,0,0.49556,0.33511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.115,0.377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.667,53.333,0,0,0,0,0,0,0,0
18812,188,80.15,82.4,3,1,8,0,0.35422,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52844,0,0,0,0.797,0,0,0,0,0,0,0,0,0,0,0,0,0,1.189,0,0,0,26.667,0,0,0,0,0,0,0,0,0,0,0,0,0,26.667,0,0
18812,188,91.6,93.85,2,1,9,0,0,0,0.89733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18812,188,103.05,105.3,4,1,10,0,0,0.22978,0,0,0.28356,0,0,0,0,0,0,0,0.248,0.17689,0,0,0,0,0,0.517,0,0,0.638,0,0,0,0,0,0,0,0.558,0.398,0,0,0,0,0,26.667,0,0,26.667,0,0,0,0,0,0,0,26.667,26.667,0,0,0
18812,188,114.5,116.75,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18812,188,125.95,128.2,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18812,188,137.4,139.65,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18812,188,148.85,151.1,4,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18812,188,160.3,162.55,3,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18812,188,171.75,174,4,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18812,188,183.2,185.45,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18812,188,194.65,196.9,3,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18812,188,206.1,208.35,4,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18812,188,217.55,219.8,4,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18812,188,229,231.25,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18812,188,240.45,242.7,3,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
