Onset,Offset,ObjectNum
2.25,3.25,10
4.5,5.5,5
6.75,7.75,7
9,10,2
13.7,14.7,14
15.95,16.95,6
18.2,19.2,3
20.45,21.45,4
25.15,26.15,12
27.4,28.4,6
29.65,30.65,13
31.9,32.9,18
36.6,37.6,9
38.85,39.85,17
41.1,42.1,16
43.35,44.35,1
48.05,49.05,4
50.3,51.3,2
52.55,53.55,6
54.8,55.8,10
59.5,60.5,12
61.75,62.75,3
64,65,1
66.25,67.25,13
70.95,71.95,18
73.2,74.2,9
75.45,76.45,17
77.7,78.7,10
82.4,83.4,11
84.65,85.65,8
86.9,87.9,16
89.15,90.15,2
93.85,94.85,4
96.1,97.1,17
98.35,99.35,5
100.6,101.6,7
105.3,106.3,6
107.55,108.55,14
109.8,110.8,15
112.05,113.05,3
116.75,117.75,18
119,120,16
121.25,122.25,8
123.5,124.5,15
128.2,129.2,14
130.45,131.45,8
132.7,133.7,1
134.95,135.95,18
139.65,140.65,7
141.9,142.9,5
144.15,145.15,12
146.4,147.4,14
151.1,152.1,9
153.35,154.35,13
155.6,156.6,3
157.85,158.85,16
162.55,163.55,5
164.8,165.8,10
167.05,168.05,15
169.3,170.3,11
174,175,6
176.25,177.25,9
178.5,179.5,12
180.75,181.75,15
185.45,186.45,4
187.7,188.7,16
189.95,190.95,15
192.2,193.2,1
196.9,197.9,9
199.15,200.15,14
201.4,202.4,2
203.65,204.65,17
208.35,209.35,2
210.6,211.6,5
212.85,213.85,11
215.1,216.1,13
219.8,220.8,1
222.05,223.05,11
224.3,225.3,15
226.55,227.55,18
231.25,232.25,17
233.5,234.5,12
235.75,236.75,5
238,239,3
242.7,243.7,1
244.95,245.95,7
247.2,248.2,8
249.45,250.45,13
254.15,255.15,4
256.4,257.4,14
258.65,259.65,11
260.9,261.9,7
265.6,266.6,16
267.85,268.85,6
270.1,271.1,10
272.35,273.35,8
277.05,278.05,2
279.3,280.3,4
281.55,282.55,9
283.8,284.8,12
288.5,289.5,13
290.75,291.75,3
293,294,18
295.25,296.25,10
299.95,300.95,11
302.2,303.2,17
304.45,305.45,7
306.7,307.7,8
